t,A,B,C,D
TOTAL,-6801.384354033651,-116318.0077134032,0.0,0.0
0,0.0,-0.0,-0.0,0.0
1,0.0,-0.0,-0.0,0.0
2,0.0,-0.0,-0.0,0.0
3,5078.9473684210525,-0.0,-0.0,0.0
4,0.0,-0.0,-0.0,0.0
5,0.0,-0.0,-0.0,0.0
6,0.0,-0.0,-0.0,0.0
7,0.0,-0.0,-0.0,0.0
8,0.0,-0.0,-0.0,0.0
9,0.0,-0.0,-0.0,0.0
10,-3064.89,-0.0,-0.0,0.0
11,-2043.26,-0.0,-0.0,0.0
12,0.0,-0.0,-0.0,0.0
13,0.0,-0.0,-0.0,0.0
14,0.0,-0.0,-0.0,0.0
15,0.0,-0.0,-0.0,0.0
16,0.0,-0.0,-0.0,0.0
17,0.0,-0.0,-0.0,0.0
18,0.0,-10387.5945,-0.0,0.0
19,0.0,-10137.421499999999,-0.0,0.0
20,0.0,-9974.9715,-0.0,0.0
21,0.0,-9866.671499999999,-0.0,0.0
22,0.0,-9866.671499999999,-0.0,0.0
23,0.0,-9866.671499999999,-0.0,0.0
24,0.0,-6151.4736462113915,-0.0,0.0
25,0.0,-6151.4736462113915,-0.0,0.0
26,0.0,-6151.4736462113915,-0.0,0.0
27,0.0,-6151.4736462113915,-0.0,0.0
28,7.497760330266931,-6151.4736462113915,-0.0,0.0
29,489.16704368370756,-6235.07396529767,-0.0,0.0
30,240.23258480788905,-0.0,-0.0,0.0
31,0.0,-0.0,-0.0,0.0
32,0.0,-0.0,-0.0,0.0
33,0.0,-0.0,-0.0,0.0
34,-4383.4425,-0.0,-0.0,0.0
35,-4383.4425,-0.0,-0.0,0.0
36,-3326.4388428373773,-2688.2536583085393,-0.0,0.0
37,-14.487513743129341,-2684.6906978601514,-0.0,0.0
38,0.0,-2684.6906978601514,-0.0,0.0
39,0.0,-2681.763980348976,-0.0,0.0
40,0.0,-2679.8552515373394,-0.0,0.0
41,0.0,-2679.34625718757,-0.0,0.0
42,0.0,-537.4241392391406,-0.0,0.0
43,0.0,-533.1965571093499,-0.0,0.0
44,54.52685712226087,-516.1124923382781,-0.0,0.0
45,54.47868852056276,-516.0545802543083,-0.0,0.0
46,52.16659563905347,-513.2748002237611,-0.0,0.0
47,4437.560104022063,-510.90040478100195,-0.0,0.0
